SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-NewBOP_capacity,prefix,ProbabilityWeight-TES_capacity,ProbabilityWeight-Charger_capacity
203.0,-203.0,-380.0,-200.0,600.0,-203.0,-1e+200,279612418.393,363521.967027,279657045.659,280306763.629,278938880.219,278970717.766,280025481.567,18.0,132148220511.0,2.31160425335e-06,0.0115580212668,0.142857142857,8,0.161812297735,0.5
203.0,-203.0,-400.0,-200.0,900.0,-203.0,-1e+200,283162990.43,511797.399908,283151072.542,284219837.392,282151925.508,282506649.359,284003272.865,18.0,261936578553.0,2.31160425335e-06,0.00577901063338,0.0714285714286,3,0.161812297735,0.5
203.0,-203.0,-400.0,-200.0,600.0,-203.0,-1e+200,282278987.622,531860.591498,282184881.846,283494937.956,281379245.81,281630236.866,283230505.636,20.0,282875688789.0,2.31160425335e-06,0.00577901063338,0.0714285714286,1,0.161812297735,0.5
203.0,-203.0,-400.0,-200.0,1100.0,-203.0,-1e+200,282673900.029,423527.557333,282726232.915,283294636.179,281712669.426,281917171.612,283240368.079,19.0,179375591821.0,2.31160425335e-06,0.00577901063338,0.0714285714286,5,0.161812297735,0.5
203.0,-203.0,-400.0,-200.0,800.0,-203.0,-1e+200,282988745.205,405234.333532,283082305.187,283698363.736,282251632.214,282316734.668,283596563.206,18.0,164214865073.0,2.31160425335e-06,0.00866851595007,0.0714285714286,2,0.242718446602,0.5
203.0,-203.0,-400.0,-200.0,1000.0,-203.0,-1e+200,282969169.836,399511.736515,283016418.739,283997468.877,281868693.659,282553009.248,283383477.546,20.0,159609627614.0,2.31160425335e-06,0.00577901063338,0.0714285714286,4,0.161812297735,0.5
203.0,-203.0,-400.0,-200.0,1200.0,-203.0,-1e+200,282274635.762,370484.853007,282220626.196,283122288.242,281748275.211,281861627.294,282905950.595,19.0,137259026307.0,2.31160425335e-06,0.00340961627369,0.0714285714286,6,0.0954692556634,0.5
203.0,-203.0,-400.0,-200.0,1218.0,-203.0,-1e+200,282086190.853,371765.741768,282066361.236,282666991.801,281405914.526,281551627.101,282627500.05,20.0,138209766752.0,2.31160425335e-06,0.000520110957004,0.0714285714286,7,0.0145631067961,0.5
203.0,-203.0,-380.0,-200.0,800.0,-203.0,-1e+200,280206197.441,275173.205016,280214318.93,280548139.924,279659739.978,279713243.265,280524355.001,19.0,75720292759.0,2.31160425335e-06,0.0173370319001,0.142857142857,9,0.242718446602,0.5
203.0,-203.0,-380.0,-200.0,900.0,-203.0,-1e+200,279820029.491,330961.68253,279741779.137,280372342.028,279360247.896,279412835.399,280330426.22,17.0,109535635303.0,2.31160425335e-06,0.0115580212668,0.142857142857,10,0.161812297735,0.5
203.0,-203.0,-380.0,-200.0,1000.0,-203.0,-1e+200,279734378.876,452837.351997,279617037.188,280811555.937,279068058.464,279116886.727,280406196.9,20.0,205061667364.0,2.31160425335e-06,0.0115580212668,0.142857142857,11,0.161812297735,0.5
203.0,-203.0,-360.0,-200.0,600.0,-203.0,-1e+200,276652291.045,314057.197165,276622332.901,277345789.684,276238732.261,276243322.703,277187810.577,18.0,98631923091.3,2.31160425335e-06,0.0115580212668,0.142857142857,15,0.161812297735,0.5
203.0,-203.0,-380.0,-200.0,1100.0,-203.0,-1e+200,279151305.434,426811.14848,279263642.694,279921619.122,278234612.463,278499563.059,279881716.457,18.0,182167756467.0,2.31160425335e-06,0.0115580212668,0.142857142857,12,0.161812297735,0.5
203.0,-203.0,-380.0,-200.0,1200.0,-203.0,-1e+200,278961934.119,428907.626073,278953529.874,279724908.299,278256550.858,278424510.504,279592623.012,19.0,183961751704.0,2.31160425335e-06,0.00681923254739,0.142857142857,13,0.0954692556634,0.5
203.0,-203.0,-360.0,-200.0,800.0,-203.0,-1e+200,276730689.914,402918.282954,276669441.748,277650734.981,275982184.86,276205548.946,277300843.482,18.0,162343142738.0,2.31160425335e-06,0.0173370319001,0.142857142857,16,0.242718446602,0.5
203.0,-203.0,-380.0,-200.0,1218.0,-203.0,-1e+200,278597453.225,345619.705371,278605420.879,279259159.762,277895766.93,278040531.055,279018757.777,19.0,119452980740.0,2.31160425335e-06,0.00104022191401,0.142857142857,14,0.0145631067961,0.5
203.0,-203.0,-360.0,-200.0,900.0,-203.0,-1e+200,276431148.264,366434.665115,276515282.26,277099064.157,275627579.707,275949416.081,276964258.292,20.0,134274363798.0,2.31160425335e-06,0.0115580212668,0.142857142857,17,0.161812297735,0.5
203.0,-203.0,-360.0,-200.0,1000.0,-203.0,-1e+200,275946313.696,308916.787294,275870982.421,276625415.653,275368385.649,275577877.401,276353853.321,19.0,95429581472.3,2.31160425335e-06,0.0115580212668,0.142857142857,18,0.161812297735,0.5
203.0,-203.0,-360.0,-200.0,1100.0,-203.0,-1e+200,275405276.001,357195.957611,275454164.097,275944250.573,274595483.586,274851675.678,275855081.376,19.0,127588952134.0,2.31160425335e-06,0.0115580212668,0.142857142857,19,0.161812297735,0.5
203.0,-203.0,-340.0,-200.0,600.0,-203.0,-1e+200,273258973.817,327677.164241,273268099.297,273824797.712,272543729.712,272565881.308,273714657.922,18.0,107372323965.0,2.31160425335e-06,0.0173370319001,0.214285714286,22,0.161812297735,0.5
203.0,-203.0,-360.0,-200.0,1218.0,-203.0,-1e+200,274624974.028,324643.137374,274605154.649,275443707.495,274151170.594,274221361.523,275060493.554,20.0,105393166644.0,2.31160425335e-06,0.00104022191401,0.142857142857,21,0.0145631067961,0.5
203.0,-203.0,-360.0,-200.0,1200.0,-203.0,-1e+200,274876096.918,371713.618418,274933345.743,275622500.52,274035809.721,274202809.61,275368730.4,20.0,138171014118.0,2.31160425335e-06,0.00681923254739,0.142857142857,20,0.0954692556634,0.5
203.0,-203.0,-340.0,-200.0,800.0,-203.0,-1e+200,272993914.581,317420.374738,273033518.474,273773251.993,272252481.996,272373294.445,273245640.518,20.0,100755694299.0,2.31160425335e-06,0.0260055478502,0.214285714286,23,0.242718446602,0.5
203.0,-203.0,-340.0,-200.0,900.0,-203.0,-1e+200,272543744.701,346938.056844,272566791.386,273300637.84,272097529.019,272107287.031,273116173.718,20.0,120366015287.0,2.31160425335e-06,0.0173370319001,0.214285714286,24,0.161812297735,0.5
203.0,-203.0,-340.0,-200.0,1000.0,-203.0,-1e+200,271917325.288,353499.849704,271975487.903,272329414.408,271164272.813,271353109.453,272311564.346,17.0,124962143741.0,2.31160425335e-06,0.0173370319001,0.214285714286,25,0.161812297735,0.5
203.0,-203.0,-340.0,-200.0,1100.0,-203.0,-1e+200,271364502.307,314620.560887,271356047.467,271796694.705,270754539.501,270828880.293,271762100.745,17.0,98986097332.7,2.31160425335e-06,0.0173370319001,0.214285714286,26,0.161812297735,0.5
203.0,-203.0,-340.0,-200.0,1200.0,-203.0,-1e+200,270601682.759,264160.59734,270591460.13,271057456.178,270065706.045,270302667.937,270896668.238,20.0,69780821187.1,2.31160425335e-06,0.0102288488211,0.214285714286,27,0.0954692556634,0.5
203.0,-203.0,-340.0,-200.0,1218.0,-203.0,-1e+200,270397150.637,369231.614794,270411355.394,271171795.699,269741936.432,269889338.143,271007647.561,20.0,136331985363.0,2.31160425335e-06,0.00156033287101,0.214285714286,28,0.0145631067961,0.5
203.0,-203.0,-300.0,-200.0,600.0,-203.0,-1e+200,265468003.075,294992.808798,265364760.163,266030144.133,265002717.994,265114252.719,265895724.056,17.0,87020757242.6,2.31160425335e-06,0.0231160425335,0.285714285714,29,0.161812297735,0.5
203.0,-203.0,-300.0,-200.0,800.0,-203.0,-1e+200,264375353.551,365953.677509,264338310.047,265225938.731,263769475.87,263860600.601,264917178.134,17.0,133922094082.0,2.31160425335e-06,0.0346740638003,0.285714285714,30,0.242718446602,0.5
203.0,-203.0,-300.0,-200.0,900.0,-203.0,-1e+200,263618181.027,295672.069962,263603189.859,264292304.498,263247910.656,263282233.766,264072323.401,17.0,87421972955.8,2.31160425335e-06,0.0231160425335,0.285714285714,31,0.161812297735,0.5
203.0,-203.0,-300.0,-200.0,1000.0,-203.0,-1e+200,262718980.241,328828.136007,262723202.271,263349648.214,262231395.37,262274060.547,263330280.117,18.0,108127943030.0,2.31160425335e-06,0.0231160425335,0.285714285714,32,0.161812297735,0.5
203.0,-203.0,-300.0,-200.0,1100.0,-203.0,-1e+200,261861005.52,380495.320116,261930607.048,262357990.669,260877635.161,261424524.663,262340180.216,20.0,144776688631.0,2.31160425335e-06,0.0231160425335,0.285714285714,33,0.161812297735,0.5
203.0,-203.0,-300.0,-200.0,1200.0,-203.0,-1e+200,260934464.306,307132.204464,260933990.575,261371284.42,260160772.246,260423901.017,261361225.707,20.0,94330191018.7,2.31160425335e-06,0.0136384650948,0.285714285714,34,0.0954692556634,0.5
203.0,-203.0,-300.0,-200.0,1218.0,-203.0,-1e+200,260926222.204,337537.034331,260992537.501,261573927.444,260357354.082,260380831.074,261467819.258,19.0,113931249545.0,2.31160425335e-06,0.00208044382802,0.285714285714,35,0.0145631067961,0.5
203.0,-203.0,-260.0,-200.0,600.0,-203.0,-1e+200,255337336.078,257363.697322,255246071.059,255931729.376,255026603.534,255037264.515,255744099.601,14.0,66236072699.2,2.31160425335e-06,0.0115580212668,0.142857142857,36,0.161812297735,0.5
203.0,-203.0,-260.0,-200.0,800.0,-203.0,-1e+200,253249945.506,338006.768131,253269730.002,254104042.278,252753995.577,252793035.747,253869493.009,17.0,114248575303.0,2.31160425335e-06,0.0173370319001,0.142857142857,37,0.242718446602,0.5
203.0,-203.0,-260.0,-200.0,900.0,-203.0,-1e+200,252198431.748,358058.658606,252152236.843,252791554.3,251609945.332,251696515.952,252758364.306,20.0,128206003003.0,2.31160425335e-06,0.0115580212668,0.142857142857,38,0.161812297735,0.5
203.0,-203.0,-260.0,-200.0,1000.0,-203.0,-1e+200,250886849.116,225588.273826,250912937.345,251308191.548,250527362.934,250569048.86,251239688.194,19.0,50890069288.0,2.31160425335e-06,0.0115580212668,0.142857142857,39,0.161812297735,0.5
203.0,-203.0,-260.0,-200.0,1100.0,-203.0,-1e+200,249894048.847,307889.740127,249866699.676,250471522.153,249184342.19,249499843.74,250334599.859,18.0,94796092075.7,2.31160425335e-06,0.0115580212668,0.142857142857,40,0.161812297735,0.5
203.0,-203.0,-260.0,-200.0,1200.0,-203.0,-1e+200,248732641.555,385759.261766,248750574.284,249317227.867,248096170.09,248204732.672,249206095.626,15.0,148810208038.0,2.31160425335e-06,0.00681923254739,0.142857142857,41,0.0954692556634,0.5
203.0,-203.0,-400.0,-195.0,600.0,-203.0,-1e+200,281823984.877,253950.514249,281862344.537,282171211.664,281271913.933,281308210.744,282156813.879,17.0,64490863687.5,2.31160425335e-06,0.00577901063338,0.0714285714286,43,0.161812297735,0.5
203.0,-203.0,-260.0,-200.0,1218.0,-203.0,-1e+200,248499709.989,282765.744021,248490898.183,249036330.34,248035862.98,248055340.229,248976847.828,19.0,79956465992.0,2.31160425335e-06,0.00104022191401,0.142857142857,42,0.0145631067961,0.5
203.0,-203.0,-400.0,-195.0,800.0,-203.0,-1e+200,282812225.055,320287.888512,282879480.108,283247781.999,282192318.626,282256983.524,283177439.574,18.0,102584331527.0,2.31160425335e-06,0.00866851595007,0.0714285714286,44,0.242718446602,0.5
203.0,-203.0,-400.0,-195.0,900.0,-203.0,-1e+200,282704194.894,315921.022782,282676221.442,283557281.607,282144007.629,282313762.596,283166997.161,19.0,99806092635.6,2.31160425335e-06,0.00577901063338,0.0714285714286,45,0.161812297735,0.5
203.0,-203.0,-400.0,-195.0,1000.0,-203.0,-1e+200,282283928.066,382234.918495,282205559.372,283122723.938,281678903.148,281727573.551,282973787.098,19.0,146103532917.0,2.31160425335e-06,0.00577901063338,0.0714285714286,46,0.161812297735,0.5
203.0,-203.0,-400.0,-195.0,1100.0,-203.0,-1e+200,282104518.311,561456.478664,281981096.951,283442264.674,281247829.358,281274893.596,283001338.628,20.0,315233377434.0,2.31160425335e-06,0.00577901063338,0.0714285714286,47,0.161812297735,0.5
203.0,-203.0,-400.0,-195.0,1200.0,-203.0,-1e+200,281615052.391,482890.495594,281518289.169,282438750.888,280911933.971,280971121.416,282348607.461,19.0,233183230735.0,2.31160425335e-06,0.00340961627369,0.0714285714286,48,0.0954692556634,0.5
203.0,-203.0,-400.0,-195.0,1218.0,-203.0,-1e+200,281562650.001,343651.168714,281496186.513,282408304.926,281072541.017,281190562.165,282213439.499,20.0,118096125758.0,2.31160425335e-06,0.000520110957004,0.0714285714286,49,0.0145631067961,0.5
203.0,-203.0,-380.0,-195.0,600.0,-203.0,-1e+200,279324394.374,336962.03832,279223024.206,279902426.633,278784795.601,278910419.244,279757082.062,18.0,113543415269.0,2.31160425335e-06,0.0115580212668,0.142857142857,50,0.161812297735,0.5
203.0,-203.0,-380.0,-195.0,800.0,-203.0,-1e+200,279762172.435,436892.966674,279746385.66,280509886.903,278905416.123,279038184.438,280438093.922,20.0,190875464329.0,2.31160425335e-06,0.0173370319001,0.142857142857,51,0.242718446602,0.5
203.0,-203.0,-380.0,-195.0,900.0,-203.0,-1e+200,279799225.045,308326.772305,279846788.124,280370260.398,279241369.391,279295237.889,280222900.861,20.0,95065398520.3,2.31160425335e-06,0.0115580212668,0.142857142857,52,0.161812297735,0.5
203.0,-203.0,-380.0,-195.0,1000.0,-203.0,-1e+200,279257975.66,326942.187297,279203040.74,279851792.773,278392454.247,278950007.75,279755978.05,20.0,106891193835.0,2.31160425335e-06,0.0115580212668,0.142857142857,53,0.161812297735,0.5
203.0,-203.0,-380.0,-195.0,1100.0,-203.0,-1e+200,278943505.327,422909.658725,278926975.485,279792530.663,277926516.36,278286642.935,279551738.769,20.0,178852579442.0,2.31160425335e-06,0.0115580212668,0.142857142857,54,0.161812297735,0.5
203.0,-203.0,-380.0,-195.0,1200.0,-203.0,-1e+200,278312072.452,301865.215251,278377158.519,278886430.329,277876687.778,277934753.559,278747464.869,19.0,91122608178.7,2.31160425335e-06,0.00681923254739,0.142857142857,55,0.0954692556634,0.5
203.0,-203.0,-380.0,-195.0,1218.0,-203.0,-1e+200,278234051.189,412740.39917,278190795.726,279110557.987,277558142.022,277724344.026,278862859.485,20.0,170354637107.0,2.31160425335e-06,0.00104022191401,0.142857142857,56,0.0145631067961,0.5
203.0,-203.0,-360.0,-195.0,600.0,-203.0,-1e+200,276202746.323,454936.205416,276081122.421,277205093.21,275528999.282,275587405.814,276850633.337,17.0,206966950999.0,2.31160425335e-06,0.0115580212668,0.142857142857,57,0.161812297735,0.5
203.0,-203.0,-360.0,-195.0,800.0,-203.0,-1e+200,276465795.123,370614.553096,276411980.876,277442373.827,275832397.495,275902359.104,277082562.863,18.0,137355146966.0,2.31160425335e-06,0.0173370319001,0.142857142857,58,0.242718446602,0.5
203.0,-203.0,-360.0,-195.0,900.0,-203.0,-1e+200,275861012.333,286733.768505,275918814.172,276286303.279,275344002.456,275379527.208,276278190.386,20.0,82216254001.2,2.31160425335e-06,0.0115580212668,0.142857142857,59,0.161812297735,0.5
203.0,-203.0,-360.0,-195.0,1000.0,-203.0,-1e+200,275645869.911,272002.694866,275648981.077,276095085.143,275197045.998,275251522.002,276031663.955,20.0,73985466014.1,2.31160425335e-06,0.0115580212668,0.142857142857,60,0.161812297735,0.5
203.0,-203.0,-360.0,-195.0,1100.0,-203.0,-1e+200,275244287.885,377513.864925,275270398.265,275945389.602,274405766.275,274667531.835,275787332.198,19.0,142516718211.0,2.31160425335e-06,0.0115580212668,0.142857142857,61,0.161812297735,0.5
203.0,-203.0,-360.0,-195.0,1200.0,-203.0,-1e+200,274537397.835,418104.992947,274566800.751,275541432.653,273724462.454,273943929.314,275147140.151,19.0,174811785127.0,2.31160425335e-06,0.00681923254739,0.142857142857,62,0.0954692556634,0.5
203.0,-203.0,-340.0,-195.0,600.0,-203.0,-1e+200,272771259.205,397793.365381,272712717.493,273459261.515,272289794.875,272317465.87,273457576.782,16.0,158239561541.0,2.31160425335e-06,0.0173370319001,0.214285714286,64,0.161812297735,0.5
203.0,-203.0,-360.0,-195.0,1218.0,-203.0,-1e+200,274411536.642,381751.684758,274260210.51,275065364.946,273707156.754,273875515.984,275050220.636,19.0,145734348815.0,2.31160425335e-06,0.00104022191401,0.142857142857,63,0.0145631067961,0.5
203.0,-203.0,-340.0,-195.0,800.0,-203.0,-1e+200,272651607.764,386998.118127,272731636.931,273202261.389,271662805.205,271985052.09,273185865.38,20.0,149767543434.0,2.31160425335e-06,0.0260055478502,0.214285714286,65,0.242718446602,0.5
203.0,-203.0,-340.0,-195.0,900.0,-203.0,-1e+200,272245442.198,255785.671623,272214284.961,272654546.333,271750065.455,271872860.345,272628988.093,19.0,65426309807.6,2.31160425335e-06,0.0173370319001,0.214285714286,66,0.161812297735,0.5
203.0,-203.0,-340.0,-195.0,1000.0,-203.0,-1e+200,271804580.404,299945.877278,271759442.255,272500307.58,271457130.301,271457605.767,272222404.696,20.0,89967529296.1,2.31160425335e-06,0.0173370319001,0.214285714286,67,0.161812297735,0.5
203.0,-203.0,-340.0,-195.0,1100.0,-203.0,-1e+200,271066879.839,359437.361988,271111065.306,271659604.909,270332025.469,270522062.935,271613613.335,20.0,129195217193.0,2.31160425335e-06,0.0173370319001,0.214285714286,68,0.161812297735,0.5
203.0,-203.0,-340.0,-195.0,1200.0,-203.0,-1e+200,270334845.014,332642.701232,270324882.661,271087502.414,269863904.997,269916787.779,270755138.606,19.0,110651166683.0,2.31160425335e-06,0.0102288488211,0.214285714286,69,0.0954692556634,0.5
203.0,-203.0,-300.0,-195.0,600.0,-203.0,-1e+200,265314476.893,301220.113509,265325373.487,265810128.077,264730517.583,264873843.151,265723779.436,16.0,90733556782.6,2.31160425335e-06,0.0231160425335,0.285714285714,71,0.161812297735,0.5
203.0,-203.0,-300.0,-195.0,800.0,-203.0,-1e+200,264223273.308,262845.267011,264180815.804,264703085.461,263907633.068,263907892.027,264628236.82,16.0,69087634389.9,2.31160425335e-06,0.0346740638003,0.285714285714,72,0.242718446602,0.5
203.0,-203.0,-340.0,-195.0,1218.0,-203.0,-1e+200,270192525.541,330882.760426,270198477.349,270692268.863,269559278.168,269693804.583,270684439.54,20.0,109483401147.0,2.31160425335e-06,0.00156033287101,0.214285714286,70,0.0145631067961,0.5
203.0,-203.0,-300.0,-195.0,900.0,-203.0,-1e+200,263217983.255,329576.73004,263197963.972,263741713.724,262700917.278,262715063.813,263732725.238,16.0,108620820984.0,2.31160425335e-06,0.0231160425335,0.285714285714,73,0.161812297735,0.5
203.0,-203.0,-300.0,-195.0,1000.0,-203.0,-1e+200,262598534.998,334285.942531,262556125.15,263275152.389,262063455.771,262157249.639,263176826.381,17.0,111747091374.0,2.31160425335e-06,0.0231160425335,0.285714285714,74,0.161812297735,0.5
203.0,-203.0,-300.0,-195.0,1100.0,-203.0,-1e+200,261642239.526,318907.103434,261664300.047,262207934.764,261115699.203,261194122.91,262085168.294,19.0,101701740621.0,2.31160425335e-06,0.0231160425335,0.285714285714,75,0.161812297735,0.5
203.0,-203.0,-300.0,-195.0,1200.0,-203.0,-1e+200,260778332.18,319364.646981,260791274.667,261411453.693,260212514.354,260239167.625,261189622.943,19.0,101993777741.0,2.31160425335e-06,0.0136384650948,0.285714285714,76,0.0954692556634,0.5
203.0,-203.0,-300.0,-195.0,1218.0,-203.0,-1e+200,260640960.926,357749.820732,260570085.868,261357176.15,259971471.743,260204468.648,261211650.293,18.0,127984934234.0,2.31160425335e-06,0.00208044382802,0.285714285714,77,0.0145631067961,0.5
203.0,-203.0,-260.0,-195.0,600.0,-203.0,-1e+200,255159113.167,346527.44298,255130140.587,255825898.749,254674049.819,254769851.179,255758529.141,12.0,120081268739.0,2.31160425335e-06,0.0115580212668,0.142857142857,78,0.161812297735,0.5
203.0,-203.0,-260.0,-195.0,800.0,-203.0,-1e+200,253097244.635,294313.235705,253071488.893,253832214.749,252687543.736,252746070.701,253512672.609,16.0,86620280711.2,2.31160425335e-06,0.0173370319001,0.142857142857,79,0.242718446602,0.5
203.0,-203.0,-260.0,-195.0,900.0,-203.0,-1e+200,251912102.856,256274.590925,251918513.93,252317264.153,251426585.192,251542137.114,252297463.16,20.0,65676665953.9,2.31160425335e-06,0.0115580212668,0.142857142857,80,0.161812297735,0.5
203.0,-203.0,-260.0,-195.0,1000.0,-203.0,-1e+200,250792582.658,387375.462949,250772664.252,251589849.437,250046032.565,250220188.78,251306791.283,18.0,150059749295.0,2.31160425335e-06,0.0115580212668,0.142857142857,81,0.161812297735,0.5
203.0,-203.0,-260.0,-195.0,1100.0,-203.0,-1e+200,249770516.149,284811.477506,249732613.38,250512613.117,249173796.43,249462097.284,250137519.608,19.0,81117577719.4,2.31160425335e-06,0.0115580212668,0.142857142857,82,0.161812297735,0.5
203.0,-203.0,-260.0,-195.0,1200.0,-203.0,-1e+200,248649683.135,248024.047381,248738356.206,248935750.218,248113511.892,248265025.638,248927209.35,19.0,61515928079.1,2.31160425335e-06,0.00681923254739,0.142857142857,83,0.0954692556634,0.5
203.0,-203.0,-260.0,-195.0,1218.0,-203.0,-1e+200,248355959.089,320292.072223,248413833.534,248785925.549,247833803.394,247938994.853,248776511.407,19.0,102587011529.0,2.31160425335e-06,0.00104022191401,0.142857142857,84,0.0145631067961,0.5
