Plant Location,Cumulative amount of CO2 transported (MMT/year),Cumulative average logistics cost of CO2 ($/MT),co2 (kg/year),cost ($/kg),,,,,,
Oro Grande,1.0,113.9,1024307,0.113884912,,,,,,
Apple Valley,1.7,111.7,1708821.27,0.111654912,,,,,,
Oro Grande,2.8,112.3,2831341.41,0.112328898,,,,,,
Mojave,3.8,113.4,3840306.93,0.113407673,,,,,,
Lucerne Valley,4.8,114.1,4794384.24,0.11405586,,,,,,
Lebec,5.6,115.0,5648315.7,0.115020267,,,,,,
TEHACHAPI,6.1,115.8,6145842,0.115768651,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,