npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,prefix
1280.0,-1265.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,500000.0,ref,south_texas_project,west_south_central,covid,2809791653.96,4238883.38797,2810659071.75,2814982999.12,2802602679.39,2803300281.56,2814740467.16,10.0,1.79681323768e+13,0.00126139176037,0.263948497854,0.286736576035,2.44332436764e-16,0.0166666263889,4
1280.0,-1265.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,south_texas_project,west_south_central,covid,2735806392.84,6251.61911461,2735805493.17,2735819582.06,2735797358.44,2735799324.52,2735816300.11,10.0,39082741.5542,0.000157671210744,0.263948497854,0.286736576035,2.44332436764e-16,0.00208329184027,1
1280.0,-1265.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,4000000.0,ref,south_texas_project,west_south_central,covid,2713954166.51,34670349.7978,2703520447.77,2771964214.68,2652099451.75,2670223551.84,2765963360.15,10.0,1.2020331551e+15,0.00236511546348,0.263948497854,0.286736576035,2.44332436764e-16,0.0312500026042,7
1280.0,-1265.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,8000000.0,ref,south_texas_project,west_south_central,covid,2037217215.62,49479888.6252,2059273567.06,2092071339.71,1949752737.18,1955747631.34,2086856848.49,10.0,2.44825937836e+15,0.00378418474156,0.263948497854,0.286736576035,2.44332436764e-16,0.0500000041667,10
1280.0,-650.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,8000000.0,ref,south_texas_project,west_south_central,covid,2678880168.86,96231544.6733,2702324095.07,2799093169.87,2485956220.45,2520550469.61,2792089909.39,10.0,9.26051019021e+15,0.00716841499824,0.5,0.286736576035,2.44332436764e-16,0.0500000041667,11
1280.0,-100.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,8000000.0,ref,south_texas_project,west_south_central,covid,3290986571.86,92252786.2465,3287152173.55,3414496740.85,3094571458.97,3159630644.38,3412548303.77,10.0,8.51057657024e+15,0.00338423025668,0.236051502146,0.286736576035,2.44332436764e-16,0.0500000041667,12
1280.0,-650.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,4000000.0,ref,south_texas_project,west_south_central,covid,3053959196.15,49804650.6547,3051714436.22,3167622690.54,2970352537.01,2995162695.39,3125418128.53,10.0,2.48050322684e+15,0.0044802593739,0.5,0.286736576035,2.44332436764e-16,0.0312500026042,8
1280.0,-1265.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,16000000.0,ref,south_texas_project,west_south_central,covid,-1585956556.12,55480725.0785,-1593832382.49,-1496014857.7,-1672974197.65,-1667614363.04,-1516432412.11,10.0,3.07811085523e+15,0.00756836948312,0.263948497854,0.286736576035,2.44332436764e-16,0.100000008333,13
1280.0,-650.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,16000000.0,ref,south_texas_project,west_south_central,covid,-907563323.782,80306399.4296,-913543080.856,-733544341.598,-1033245283.21,-998988592.773,-780607906.899,10.0,6.44911778935e+15,0.0143368299965,0.5,0.286736576035,2.44332436764e-16,0.100000008333,14
1280.0,-100.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,16000000.0,ref,south_texas_project,west_south_central,covid,-294840544.964,63664401.5251,-278317998.635,-210102207.718,-403028606.862,-390626119.368,-221198762.44,10.0,4.05315602155e+15,0.00676846051336,0.236051502146,0.286736576035,2.44332436764e-16,0.100000008333,15
1280.0,-650.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,32000000.0,ref,south_texas_project,west_south_central,covid,-8229749308.04,66767795.7254,-8214604294.08,-8158714490.86,-8363250510.47,-8339032569.56,-8161140219.07,10.0,4.45793854602e+15,0.028673659993,0.5,0.286736576035,2.44332436764e-16,0.200000016667,17
1280.0,-100.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,32000000.0,ref,south_texas_project,west_south_central,covid,-7530949308.08,61963051.337,-7528695664.81,-7424692141.79,-7620902267.2,-7606611602.74,-7436286179.9,10.0,3.83941973099e+15,0.0135369210267,0.236051502146,0.286736576035,2.44332436764e-16,0.200000016667,18
1280.0,-1265.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,64000000.0,ref,south_texas_project,west_south_central,covid,-23291418767.7,60603687.4928,-23308618074.5,-23172849119.3,-23366452793.0,-23362905405.6,-23203483346.9,10.0,3.67280693773e+15,0.0277506881048,0.263948497854,0.286736576035,2.44332436764e-16,0.366666697222,19
1280.0,-1265.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,32000000.0,ref,south_texas_project,west_south_central,covid,-8862262570.47,98711981.4231,-8883320662.25,-8666269466.96,-9009120737.06,-8973280779.18,-8701777394.4,10.0,9.74405527647e+15,0.0151367389662,0.263948497854,0.286736576035,2.44332436764e-16,0.200000016667,16
1280.0,-650.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,64000000.0,ref,south_texas_project,west_south_central,covid,-22594521641.4,45432079.0619,-22603376380.7,-22515050691.8,-22668313073.9,-22651325411.6,-22529054022.7,10.0,2.06407380789e+15,0.0525683766538,0.5,0.286736576035,2.44332436764e-16,0.366666697222,20
1280.0,-100.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,64000000.0,ref,south_texas_project,west_south_central,covid,-22017359935.2,73436138.8286,-22005529985.1,-21929971643.5,-22153915254.0,-22125658633.7,-21936726772.0,10.0,5.39286648605e+15,0.024817688549,0.236051502146,0.286736576035,2.44332436764e-16,0.366666697222,21
1280.0,-1265.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120000000.0,ref,south_texas_project,west_south_central,covid,-48575279110.6,48052646.1171,-48577951283.0,-48493926474.7,-48659353034.1,-48640138807.4,-48504473647.2,10.0,2.30905679886e+15,0.017659528794,0.263948497854,0.286736576035,2.44332436764e-16,0.233333352778,22
1280.0,-100.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120000000.0,ref,south_texas_project,west_south_central,covid,-47381904595.1,83961441.2029,-47386265230.6,-47266611617.9,-47496540744.6,-47482449301.3,-47274114777.4,10.0,7.04952360886e+15,0.0157930745312,0.236051502146,0.286736576035,2.44332436764e-16,0.233333352778,24
1280.0,-1265.0,-15000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,south_texas_project,west_south_central,covid,1815690353.05,57496098.4584,1826208477.62,1889261329.84,1727779892.86,1734018942.24,1887860870.93,10.0,3.30580133794e+15,0.000274940875916,0.263948497854,0.5,2.44332436764e-16,0.00208329184027,25
1280.0,-650.0,-15000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,south_texas_project,west_south_central,covid,2473211672.55,45897767.7971,2465432725.08,2546610181.9,2399782733.54,2417581032.61,2540170506.9,10.0,2.10660508875e+15,0.000520822960069,0.5,0.5,2.44332436764e-16,0.00208329184027,26
1280.0,-650.0,-31789.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120000000.0,ref,south_texas_project,west_south_central,covid,-47971447378.3,60557276.5119,-47979340090.0,-47860112483.7,-48049745471.3,-48041960483.2,-47867393024.7,10.0,3.66718373854e+15,0.0334526033251,0.5,0.286736576035,2.44332436764e-16,0.233333352778,23
1280.0,-1265.0,-15000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,500000.0,ref,south_texas_project,west_south_central,covid,2033483579.43,48831068.8985,2032951955.96,2110534007.01,1969397495.91,1971737482.42,2100691629.64,10.0,2.38447328977e+15,0.00219956549982,0.263948497854,0.5,2.44332436764e-16,0.0166666263889,28
1280.0,-650.0,-15000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,500000.0,ref,south_texas_project,west_south_central,covid,2536190990.86,35334069.4306,2535681683.5,2591472171.61,2461536138.32,2486142256.07,2582729829.94,10.0,1.24849646253e+15,0.00416665659722,0.5,0.5,2.44332436764e-16,0.0166666263889,29
1280.0,-1265.0,-15000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,4000000.0,ref,south_texas_project,west_south_central,covid,1431508585.72,43925565.8286,1414209434.7,1491919535.88,1384956596.05,1385068084.67,1487620863.06,10.0,1.92945533336e+15,0.00412419562265,0.263948497854,0.5,2.44332436764e-16,0.0312500026042,31
1280.0,-100.0,-15000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,4000000.0,ref,south_texas_project,west_south_central,covid,2660618974.62,45676557.4626,2645167916.4,2781991266.19,2627475538.2,2628858978.77,2739380293.84,10.0,2.08634790163e+15,0.00368830502839,0.236051502146,0.5,2.44332436764e-16,0.0312500026042,33
1280.0,-1265.0,-15000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,8000000.0,ref,south_texas_project,west_south_central,covid,-417121635.428,79348630.3637,-413595353.221,-322245283.82,-546807867.107,-523814608.929,-323902363.704,10.0,6.29620514059e+15,0.00659871299624,0.263948497854,0.5,2.44332436764e-16,0.0500000041667,34
1280.0,-650.0,-15000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,8000000.0,ref,south_texas_project,west_south_central,covid,228135474.93,49449160.3761,226620363.483,326478753.746,155096336.13,169690697.302,300770453.223,10.0,2.4452194619e+15,0.0125000010417,0.5,0.5,2.44332436764e-16,0.0500000041667,35
1280.0,-100.0,-15000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,8000000.0,ref,south_texas_project,west_south_central,covid,831780059.277,64992142.9437,813461265.884,952941998.018,752254083.588,762457288.417,934199274.563,10.0,4.22397864442e+15,0.00590128804542,0.236051502146,0.5,2.44332436764e-16,0.0500000041667,36
1280.0,-1265.0,-15000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,16000000.0,ref,south_texas_project,west_south_central,covid,-4027625179.9,51955747.2472,-4053082388.72,-3922538730.45,-4081745681.8,-4078034142.53,-3949408155.47,10.0,2.69939967201e+15,0.0131974259925,0.263948497854,0.5,2.44332436764e-16,0.100000008333,37
1280.0,-650.0,-15000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,4000000.0,ref,south_texas_project,west_south_central,covid,2026536201.63,89408272.8468,2037328538.6,2194411113.32,1846636729.48,1892840618.76,2146033064.82,10.0,7.99383925345e+15,0.00781250065104,0.5,0.5,2.44332436764e-16,0.0312500026042,32
1280.0,-650.0,-15000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,16000000.0,ref,south_texas_project,west_south_central,covid,-3388357758.12,41616892.3913,-3397819593.16,-3315303815.32,-3433203923.7,-3431776399.87,-3320620358.04,10.0,1.73196573231e+15,0.0250000020833,0.5,0.5,2.44332436764e-16,0.100000008333,38
1280.0,-100.0,-15000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,16000000.0,ref,south_texas_project,west_south_central,covid,-2796618531.93,86060772.5198,-2768129937.34,-2704470989.64,-2950017029.52,-2926385061.08,-2707234684.7,10.0,7.4064565667e+15,0.0118025760908,0.236051502146,0.5,2.44332436764e-16,0.100000008333,39
1280.0,-1265.0,-15000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,32000000.0,ref,south_texas_project,west_south_central,covid,-11310026173.4,55672506.7848,-11309233132.2,-11227292637.5,-11406720597.2,-11381093229.8,-11228708496.6,10.0,3.09942801171e+15,0.026394851985,0.263948497854,0.5,2.44332436764e-16,0.200000016667,40
1280.0,-100.0,-15000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,32000000.0,ref,south_texas_project,west_south_central,covid,-10021695001.1,45035137.758,-10017123805.5,-9946161126.29,-10087437482.9,-10083308948.8,-9960940429.86,10.0,2.02816363288e+15,0.0236051521817,0.236051502146,0.5,2.44332436764e-16,0.200000016667,42
1280.0,-1265.0,-15000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,64000000.0,ref,south_texas_project,west_south_central,covid,-25732892058.7,66009660.144,-25712673127.0,-25650261722.6,-25853164724.3,-25822705580.9,-25656072332.0,10.0,4.35727523232e+15,0.0483905619725,0.263948497854,0.5,2.44332436764e-16,0.366666697222,43
1280.0,-650.0,-15000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,64000000.0,ref,south_texas_project,west_south_central,covid,-25104797152.5,65846684.3044,-25098068331.2,-25011019922.6,-25212400654.8,-25202405828.1,-25015334624.4,10.0,4.33578583389e+15,0.0916666743056,0.5,0.5,2.44332436764e-16,0.366666697222,44
1280.0,-100.0,-15000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,64000000.0,ref,south_texas_project,west_south_central,covid,-24477077307.9,104870146.764,-24468098835.7,-24302922111.2,-24633969133.1,-24616169002.8,-24337748458.2,10.0,1.09977476822e+16,0.0432761123331,0.236051502146,0.5,2.44332436764e-16,0.366666697222,45
1280.0,-650.0,-15000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,32000000.0,ref,south_texas_project,west_south_central,covid,-10651427363.9,55639301.1633,-10629903272.3,-10577963262.8,-10741278583.5,-10734896372.6,-10588915443.2,10.0,3.09573183394e+15,0.0500000041667,0.5,0.5,2.44332436764e-16,0.200000016667,41
1280.0,-1265.0,-15000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120000000.0,ref,south_texas_project,west_south_central,covid,-51010404547.5,71552175.6015,-51004765876.8,-50881697792.4,-51122601687.5,-51117395076.8,-50912453651.5,10.0,5.11971383331e+15,0.0307939939825,0.263948497854,0.5,2.44332436764e-16,0.233333352778,46
1280.0,-650.0,-15000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120000000.0,ref,south_texas_project,west_south_central,covid,-50405802973.4,84689850.4476,-50384911475.4,-50298892916.5,-50547901848.0,-50539618413.2,-50301758840.6,10.0,7.17237076884e+15,0.0583333381944,0.5,0.5,2.44332436764e-16,0.233333352778,47
1280.0,-100.0,-15000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120000000.0,ref,south_texas_project,west_south_central,covid,-49832140640.1,69428459.8511,-49855181683.6,-49725871219.2,-49909772688.5,-49904897847.5,-49731729510.6,10.0,4.82031103729e+15,0.027539344212,0.236051502146,0.5,2.44332436764e-16,0.233333352778,48
1280.0,-650.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,south_texas_project,west_south_central,covid,1830541738.55,41537216.392,1831137444.15,1903553536.62,1771478609.39,1775866573.46,1890322127.68,10.0,1.72534034559e+15,0.000222144975488,0.5,0.213263423965,2.44332436764e-16,0.00208329184027,50
1280.0,-100.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,south_texas_project,west_south_central,covid,2418110890.15,67280610.4672,2418634445.75,2521106656.75,2290824757.01,2323734191.31,2517395230.85,10.0,4.52668054485e+15,0.000104875310316,0.236051502146,0.213263423965,2.44332436764e-16,0.00208329184027,51
1280.0,-1265.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,500000.0,ref,south_texas_project,west_south_central,covid,1105985327.16,68422651.3819,1098111249.35,1258729064.78,1028507812.6,1034380405.8,1211012442.89,10.0,4.68165922213e+15,0.000938173739454,0.263948497854,0.213263423965,2.44332436764e-16,0.0166666263889,52
1280.0,-1265.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,south_texas_project,west_south_central,covid,1214608391.17,42770323.9153,1224996478.29,1280970054.49,1142776794.13,1150404170.19,1266000417.16,10.0,1.82930060782e+15,0.000117269665172,0.263948497854,0.213263423965,2.44332436764e-16,0.00208329184027,49
1280.0,-650.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,500000.0,ref,south_texas_project,west_south_central,covid,1853862185.98,116009923.256,1848114373.07,2044108299.46,1651733407.34,1710153971.62,2033864308.83,10.0,1.34583022939e+16,0.00177719090482,0.5,0.213263423965,2.44332436764e-16,0.0166666263889,53
1280.0,-100.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,500000.0,ref,south_texas_project,west_south_central,covid,2442911232.02,52361114.0466,2438386053.43,2521514304.9,2349589845.56,2363812992.19,2509777812.29,10.0,2.7416862642e+15,0.000839017165366,0.236051502146,0.213263423965,2.44332436764e-16,0.0166666263889,54
1280.0,-1265.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,4000000.0,ref,south_texas_project,west_south_central,covid,-414336226.962,72375353.5634,-404124453.633,-323085527.213,-526780225.279,-521847264.616,-326707464.049,10.0,5.23819180342e+15,0.00175908015918,0.263948497854,0.213263423965,2.44332436764e-16,0.0312500026042,55
1280.0,-100.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,4000000.0,ref,south_texas_project,west_south_central,covid,883800004.395,86138815.681,892504864.865,1032888063.67,767398593.781,779404470.676,1007131055.98,10.0,7.41989556692e+15,0.00157316111796,0.236051502146,0.213263423965,2.44332436764e-16,0.0312500026042,57
1280.0,-1265.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,8000000.0,ref,south_texas_project,west_south_central,covid,-2221676668.08,54050757.7565,-2219792711.81,-2132757993.08,-2293477196.29,-2287357425.95,-2136817299.64,10.0,2.92148441406e+15,0.00281452825468,0.263948497854,0.213263423965,2.44332436764e-16,0.0500000041667,58
1280.0,-650.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,8000000.0,ref,south_texas_project,west_south_central,covid,-1559099701.35,68412250.0586,-1587026977.93,-1473928991.62,-1638501279.25,-1635236869.45,-1476140249.53,10.0,4.68023595809e+15,0.00533158604342,0.5,0.213263423965,2.44332436764e-16,0.0500000041667,59
1280.0,-650.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,4000000.0,ref,south_texas_project,west_south_central,covid,244814567.959,117863865.696,252063926.414,390394870.477,63331653.1001,97077704.7048,375662313.198,10.0,1.38918908369e+16,0.00333224127714,0.5,0.213263423965,2.44332436764e-16,0.0312500026042,56
1280.0,-100.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,8000000.0,ref,south_texas_project,west_south_central,covid,-929683094.131,72600090.7995,-933050296.121,-809077496.487,-1019635992.06,-1015045821.32,-833376436.194,10.0,5.2707731841e+15,0.00251705778874,0.236051502146,0.213263423965,2.44332436764e-16,0.0500000041667,60
1280.0,-1265.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,16000000.0,ref,south_texas_project,west_south_central,covid,-5835803214.19,81275282.9025,-5827977227.2,-5699969901.59,-5931171478.69,-5930430813.66,-5728861366.67,10.0,6.60567161088e+15,0.00562905650937,0.263948497854,0.213263423965,2.44332436764e-16,0.100000008333,61
1280.0,-650.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,16000000.0,ref,south_texas_project,west_south_central,covid,-5193789216.16,76669039.264,-5194893725.39,-5085698208.22,-5349110444.09,-5306108237.33,-5099700713.56,10.0,5.87814158166e+15,0.0106631720868,0.5,0.213263423965,2.44332436764e-16,0.100000008333,62
1280.0,-1265.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,32000000.0,ref,south_texas_project,west_south_central,covid,-13038774993.0,62004659.2784,-13044664385.0,-12937852553.8,-13158065578.6,-13132121096.6,-12958002796.7,10.0,3.84457777223e+15,0.0112581130187,0.263948497854,0.213263423965,2.44332436764e-16,0.200000016667,64
1280.0,-650.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,32000000.0,ref,south_texas_project,west_south_central,covid,-12370118160.3,46244369.3398,-12387885779.7,-12289679335.5,-12426979055.3,-12418356299.7,-12298632740.8,10.0,2.13854169564e+15,0.0213263441737,0.5,0.213263423965,2.44332436764e-16,0.200000016667,65
1280.0,-100.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,32000000.0,ref,south_texas_project,west_south_central,covid,-11830951603.1,58928755.9137,-11850005993.3,-11742082702.9,-11897831269.9,-11895028294.0,-11751459165.6,10.0,3.47259827354e+15,0.010068231155,0.236051502146,0.213263423965,2.44332436764e-16,0.200000016667,66
1280.0,-100.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,16000000.0,ref,south_texas_project,west_south_central,covid,-4557760810.49,68033650.4178,-4552662957.68,-4462735589.05,-4715065618.16,-4662367591.09,-4473918580.05,10.0,4.62857758917e+15,0.00503411557748,0.236051502146,0.213263423965,2.44332436764e-16,0.100000008333,63
1280.0,-1265.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,64000000.0,ref,south_texas_project,west_south_central,covid,-27553942475.3,64936805.4916,-27566824826.9,-27456599612.8,-27665341200.6,-27643703519.7,-27463805307.3,10.0,4.21678870745e+15,0.0206398738677,0.263948497854,0.213263423965,2.44332436764e-16,0.366666697222,67
1280.0,-650.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,64000000.0,ref,south_texas_project,west_south_central,covid,-26889592498.1,66807644.1794,-26894347917.2,-26791901157.8,-27021627096.7,-26992488809.1,-26799875858.9,10.0,4.4632613208e+15,0.0390982976518,0.5,0.213263423965,2.44332436764e-16,0.366666697222,68
1280.0,-100.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,64000000.0,ref,south_texas_project,west_south_central,covid,-26266162502.8,68140756.4663,-26272042836.3,-26144219574.8,-26340674463.3,-26337495561.0,-26157865295.2,10.0,4.64316269181e+15,0.0184584237841,0.236051502146,0.213263423965,2.44332436764e-16,0.366666697222,69
1280.0,-1265.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120000000.0,ref,south_texas_project,west_south_central,covid,-52816327091.1,63138746.6987,-52814880177.2,-52703447509.6,-52918827838.3,-52899243158.5,-52730705649.3,10.0,3.98650133469e+15,0.0131344651885,0.263948497854,0.213263423965,2.44332436764e-16,0.233333352778,70
1280.0,-650.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120000000.0,ref,south_texas_project,west_south_central,covid,-52211348601.6,45753698.0093,-52216483776.6,-52126768054.4,-52282245161.0,-52265134573.2,-52137151208.1,10.0,2.09340088153e+15,0.0248807348693,0.5,0.213263423965,2.44332436764e-16,0.233333352778,71
1280.0,-100.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120000000.0,ref,south_texas_project,west_south_central,covid,-51583841475.1,70989216.9655,-51579485125.3,-51472259335.3,-51692436919.7,-51684707099.7,-51482894966.8,10.0,5.03946892537e+15,0.0117462696808,0.236051502146,0.213263423965,2.44332436764e-16,0.233333352778,72
